"","Fish.code","Species","Site","Date","Weight..g.","Fork.length..cm.","del13C","Std..error","del15N","Std..error.1"
"1","C01","Coho","RK17","11/10/92",13.2,10.2,-23.08,0,13.56,0.04
"2","C02","Coho","RK17","11/10/92",5.8,7.9,-22.82,0.11,13.04,0.16
"3","C03","Coho","RT02","11/18/92",8.6,8.9,-22.44,0.11,14.08,0.13
"4","C04","Coho","RT02","11/18/92",11.8,9.8,-21.69,0.09,14.01,0.11
"5","C05","Coho","RT02","11/18/92",5,7.7,-27.27,0,9.2,0.03
"6","C06","Coho","RT02","11/18/92",5.3,8.1,-23.56,0,12.84,0
"7","C07","Coho","RK17","11/9/92",1.4,4.8,-23.19,0,11.96,0.04
"8","C08","Coho","RK17","11/9/92",1,4.6,-22.59,0.12,12.93,0.04
"9","C09","Coho","RK13","11/13/92",2.6,5.9,-23.01,0,13.33,0.04
"10","C100","Coho","RK09","6/29/93",3.6,6.9,-26.52,0.06,10.98,0.02
"11","C101","Coho","RK09","6/29/93",3.1,6.5,-21.86,0.12,10.99,0.05
"12","C102","Coho","RK09","6/29/93",3.6,6.6,-24.87,0.12,12,0.11
"13","C103","Coho","RK09","6/29/93",3.4,6.6,-23.17,0.08,13.06,0.05
"14","C104","Coho","RK09","6/29/93",2.5,6.2,-24.38,0.03,11.75,0.04
"15","C105","Coho","RK09","6/29/93",1.8,5.3,-23.72,0.02,11.13,0.09
"16","C106","Coho","RK07","5/19/93",7.3,9.6,-21.31,0.06,13.98,0.01
"17","C107","Coho","RK07","5/19/93",4.3,8.2,-23.74,0.01,11.55,0.04
"18","C108","Coho","RK07","5/19/93",4.6,8,-25.53,0.01,11.3,0.12
"19","C109","Coho","RT19","6/19/93",0.3,3.7,-21.49,0.01,15.26,0.16
"20","C11","Coho","RK17","11/11/92",9.2,8.9,-22.63,0.13,13.44,0.04
"21","C110","Coho","RT19","6/19/93",0.2,3.3,-20.83,0.12,15.9,0.11
"22","C111","Coho","BP01R","5/15/93",0.3,3.2,-21,0.01,15.22,0.06
"23","C112","Coho","BP01R","5/16/93",0.2,3.6,-22.66,0.02,14.7,0.09
"24","C113","Coho","BP01R","5/16/93",0.2,3.8,-22.21,0.01,14.33,0.04
"25","C114","Coho","RP02","5/25/93",3.1,7.3,-21.92,0.01,13.64,0.08
"26","C115","Coho","RP02","5/25/93",3.9,8.8,-24.79,0.04,10.15,0.12
"27","C116","Coho","RW04","6/13/93",0.5,4.6,-25.1,0.05,8.53,0.04
"28","C117","Coho","RT03","5/19/93",8.9,10.2,-28.67,0.01,10.19,0.09
"29","C118","Coho","RT03","5/19/93",3.3,7.5,-22.66,0.08,14.56,0.11
"30","C119","Coho","BP01R","5/17/93",4.5,8.8,-22.73,0.02,13.83,0.09
"31","C12","Coho","RK17","11/11/92",2,5.7,-21.67,0.08,13.85,0.08
"32","C120","Coho","BP01R","5/17/93",2,6.8,-21.04,0.01,14.46,0.05
"33","C121","Coho","RP06BP","5/27/93",0.2,3.3,-21.87,0.01,14.16,0.1
"34","C122","Coho","RP06BP","5/27/93",4.7,8.1,-24.01,0.01,11.95,0.07
"35","C123","Coho","RP06BP","5/27/93",2,6.6,-25.54,0.09,11.04,0.16
"36","C124","Coho","RP06BP","5/27/93",1.5,5.6,-25.68,0.01,11.06,0.15
"37","C125","Coho","BP01BP","5/15/93",3.5,8.4,-25.05,0.14,9.81,0.11
"38","C126","Coho","BP01BP","5/15/93",3.3,7.6,-26.08,0.01,8.38,0.16
"39","C127","Coho","RT02R","5/16/93",4.8,9.1,-23.49,0.09,13.41,0.12
"40","C128","Coho","RT02R","5/16/93",7.9,10.8,-22.21,0.1,13.56,0.02
"41","C129","Coho","RP06BP","11/12/93",6.2,8.6,-26.41,0.02,9.76,0.14
"42","C130","Coho","RP06BP","11/12/93",1,4.3,-25.34,0.04,10.95,0.09
"43","C131","Coho","RP06BP","11/12/93",2.7,6.6,-24.47,0.01,11.12,0.01
"44","C132","Coho","RT02R","11/8/93",0.6,4,-21.93,0.04,12.25,0.14
"45","C133","Coho","RP03BP","11/12/93",14.8,11,-33.71,0.01,9.69,0.09
"46","C134","Coho","RP03BP","11/12/93",14.2,11.4,-32.89,0.01,9.03,0.08
"47","C135","Coho","RP03BP","11/12/93",2.6,6.6,-24.14,0.1,12.81,0.02
"48","C136","Coho","RP03BP","11/12/93",1.8,5.7,-23.87,0.18,12.42,0.16
"49","C137","Coho","RK14","11/6/93",5.8,8.2,-22.25,0.11,13.42,0.08
"50","C138","Coho","RK14","11/6/93",3.9,7.3,-24.57,0.01,12.78,0.06
"51","C139","Coho","RK14","11/6/93",1.9,5.9,-23.34,0.04,12.87,0.01
"52","C14","Coho","RK13","11/14/92",1.8,5.2,-23.64,0.12,13.02,0.11
"53","C140","Coho","RK11","11/4/93",0.8,4.5,-24.22,0.06,12.52,0.09
"54","C141","Coho","RK11","11/4/93",0.5,3.9,-23.25,0.04,12.86,0.12
"55","C142","Coho","RK11","11/4/93",0.6,4.1,-25.16,0.09,10.75,0.11
"56","C143","Coho","RT02-BP","11/7/93",18.5,11.8,-22.55,0.13,15,0.11
"57","C144","Coho","RT02-BP","11/7/93",14.2,10.8,-22.57,0.01,15.19,0.12
"58","C145","Coho","RT02-BP","11/7/93",3.3,7.1,-22.07,0.15,13.81,0.11
"59","C146","Coho","RT02-BP","11/7/93",4.7,7.8,-22.54,0.02,13.05,0.11
"60","C147","Coho","RT02-BP","11/7/93",2.3,6.1,-23.24,0.03,13.14,0.04
"61","C148","Coho","RP06","11/12/93",4.5,7.6,-23.16,0.04,12.46,0.11
"62","C149","Coho","RP06","11/12/93",7.1,8.8,-23.9,0.01,12.26,0.16
"63","C15","Coho","RK13","11/14/92",4.5,7.1,-23.96,0.11,11.92,0.11
"64","C150","Coho","RP06","11/12/93",1.4,5.1,-23.34,0.16,13.03,0.04
"65","C151","Coho","RP06","11/12/93",1.4,5.3,-22.61,0.03,12.39,0.13
"66","C152","Coho","RT02-R","11/7/93",6.3,8,-23.17,0.04,12.85,0.07
"67","C153","Coho","RT02-R","11/7/93",5.9,8.1,-22.41,0.04,13.03,0.13
"68","C154","Coho","RT02-R","11/7/93",0.9,4.7,-22.44,0.06,13.92,0.05
"69","C155","Coho","RT02-R","11/7/93",1.2,5,-22.92,0.11,13.82,0.01
"70","C156","Coho","RK14","11/6/93",1.4,5.4,-26.18,0.04,11.1,0.11
"71","C157","Coho","RT03","4/8/93",1.6,5.7,-31.11,0.06,8.56,0.05
"72","C158","Coho","RT03","4/8/93",1.2,5.4,-32.15,0.06,9.09,0.08
"73","C159","Coho","RT03","4/21/93",1.5,6.1,-22.38,0.06,12.43,0.13
"74","C16","Coho","RK13","11/14/92",4,6.7,-23.56,0.12,12.81,0.02
"75","C160","Coho","RT02","4/19/93",11.6,10.7,-21.36,0.09,13.91,0.1
"76","C161","Coho","RT02","4/19/93",6.1,8.9,-21.92,0.06,13.39,0.09
"77","C162","Coho","RT02","4/19/93",5.1,8.6,-24.73,0.03,9.43,0.13
"78","C163","Coho","RT02","4/19/93",2.2,6.7,-23.26,0.01,13.37,0.01
"79","C164","Coho","RT02","4/19/93",1.5,6.7,-25.91,0.12,9.39,0.06
"80","C165","Coho","BP02-R","4/19/93",0.2,3.3,-22.12,0.02,14.79,0.13
"81","C166","Coho","BP02-R","4/19/93",0.8,4.6,-24.95,0.03,9.75,0.11
"82","C167","Coho","BP02-R","4/19/93",1.9,5.7,-22.07,0.09,13.67,0.18
"83","C168","Coho","BP02-R","4/19/93",1.9,5.7,-23.42,0.01,12.02,0.16
"84","C169","Coho","RK02","4/19/93",3.2,6.8,-22.68,0.01,13.01,0.1
"85","C17","Coho","RK13","11/12/92",7.2,7.9,-23.12,0.01,13.74,0.04
"86","C170","Coho","RK02","4/19/93",1.8,5.8,-22.85,0.08,12.95,0.04
"87","C171","Coho","RK02","4/19/93",1,5.2,-21.48,0.13,13.87,0.11
"88","C172","Coho","RT03","4/20/93",0.8,4.7,-21.93,0.14,13.97,0.16
"89","C173","Coho","RP06","4/9/93",3.7,7.4,-29.24,0.08,9.7,0.06
"90","C174","Coho","RP06","4/9/93",1.2,5.2,-23.11,0.08,11.62,0.04
"91","C175","Coho","RT03","4/8/93",3.4,6.8,-31.45,0.01,9.67,0.14
"92","C176","Coho","RK32","10/27/93",2.1,5.8,-22.62,0.13,13.44,0.13
"93","C177","Coho","RK09","10/24/93",0.5,3.6,-23.01,0.06,11.6,0.14
"94","C178","Coho","RK32","10/26/93",1.4,5,-26.1,0.09,8.45,0.16
"95","C179","Coho","RK32","10/26/93",0.6,3.7,-23.22,0.11,10.98,0
"96","C18","Coho","RK13","11/12/92",1,4.5,-23.19,0.1,12.31,0.06
"97","C181","Coho","RK32","10/26/93",1.7,5.4,-21.91,0.12,13.53,0.11
"98","C182","Coho","RK32","10/26/93",2.4,5.7,-23.24,0.09,13.5,0.06
"99","C183","Coho","RK32","10/26/93",2.2,5.7,-23.06,0.09,14.36,0.06
"100","C184","Coho","RK32","10/25/93",8.1,9.2,-25.37,0.09,11.45,0.11
"101","C185","Coho","RK32","10/25/93",4.5,7.2,-23.78,0.06,13.3,0.09
"102","C186","Coho","RK32","10/25/93",0.9,4.4,-24.95,0.12,9.26,0.03
"103","C187","Coho","RK32","10/25/93",1,4.5,-24.78,0.09,9.46,0.05
"104","C188","Coho","BP04","10/23/93",8.1,8.8,-25.46,0.01,11.05,0.02
"105","C189","Coho","BP04","10/23/93",10.2,9.5,-22.08,0.03,12.18,0.03
"106","C19","Coho","RT16","11/17/92",11,9.6,-22.68,0.06,13.95,0.05
"107","C190","Coho","BP04","10/23/93",1.1,4.3,-21.98,0.04,13.66,0.11
"108","C191","Coho","BP04","10/23/93",0.7,4.1,-24.85,0.04,10.95,0.08
"109","C192","Coho","RK09","10/22/93",0.8,3.9,-22.21,0.13,13.76,0.02
"110","C193","Coho","RK09","10/22/93",1.2,4.6,-23,0.04,13.96,0.01
"111","C194","Coho","RK09","10/22/93",0.7,4.4,-21.64,0.08,13.92,0
"112","C195","Coho","BP04","10/24/93",1.8,5.6,-22.53,0.09,12.96,0.01
"113","C196","Coho","RK09","10/25/93",0.7,3.9,-26.92,0,10.31,0.01
"114","C20","Coho","RT16","11/17/92",1.1,4.6,-23.14,0,12.55,0.04
"115","C21","Coho","RK06","11/9/92",3.6,7.8,-23.45,0.13,13.11,0.18
"116","C22","Coho","RK06","11/9/92",1.1,4.6,-22.33,0.12,13.11,0.06
"117","C23","Coho","RK06","11/10/92",1.3,4.8,-23.57,0.06,11.82,0.1
"118","C24","Coho","RK06","11/10/92",1.7,5.6,-25.36,0.13,9.78,0.08
"119","C25","Coho","RK06","11/10/92",1,4.4,-22.65,0.01,13.32,0.05
"120","C26","Coho","RK06","11/10/92",1.6,5.5,-23.03,0.11,12.74,0.12
"121","C27","Coho","RK06","11/10/92",1,4.3,-23.86,0.11,11.57,0.09
"122","C28","Coho","RK06","11/10/92",1.2,4.7,-22.49,0.13,13.19,0.01
"123","C29","Coho","RK06","11/10/92",1.3,4.9,-22.71,0.04,13.2,0.12
"124","C30","Coho","RK04","11/1/92",1.6,5.3,-22.7,0.04,13.92,0.09
"125","C31","Coho","RK04","11/1/92",1.4,4.9,-22.63,0.07,13.12,0.16
"126","C32","Coho","BA","8/7/92",12.8,9.8,-21.59,0.12,13.86,0.17
"127","C33","Coho","BA","8/7/92",7,8.6,-22.76,0.01,13.02,0.01
"128","C34","Coho","BA","8/7/92",3.6,6.8,-22.94,0.13,11.22,0.03
"129","C36","Coho","RT03","11/17/92",11.8,10,-22.25,0.11,14.16,0.03
"130","C37","Coho","RK05","6/13/92",0.5,4.1,-23.38,0.04,10.97,0.1
"131","C38","Coho","RK05","6/13/92",0.7,4.7,-24.04,0.04,10.18,0.06
"132","C40","Coho","RK11","6/22/92",2,6.4,-24.48,0.12,8.73,0.11
"133","C41","Coho","RK11","6/22/92",3.6,6.9,-24.23,0.11,10.79,0.1
"134","C42","Coho","RK11","6/22/92",2.2,6.4,-24.27,0.06,8.76,0.02
"135","C43","Coho","RK05","6/12/92",0.4,3.8,-22.99,0.05,10.97,0.07
"136","C44","Coho","RK05","6/12/92",1.3,5.5,-24.27,0.04,10.76,0.02
"137","C45","Coho","RK05","6/12/92",2,5.8,-22.72,0.01,11.19,0.05
"138","C47","Coho","RK05","6/12/92",1.5,5.5,-22.99,0.1,11.29,0.12
"139","C49","Coho","RK17","6/29/92",2.4,6,-22.77,0.04,12.25,0.05
"140","C50","Coho","RK17","6/29/92",3.7,7,-23.02,0.03,12.64,0.08
"141","C51","Coho","RK17","6/29/92",2.7,6.3,-25.96,0.12,9.72,0.09
"142","C52","Coho","RK17","6/29/92",2.5,7.4,-23.45,0.07,12.04,0.07
"143","C53","Coho","RK17","6/29/92",3,6.7,-22.95,0.06,12.45,0.05
"144","C54","Coho","RK16","6/21/92",2.7,6.4,-25.51,0.13,8.2,0.14
"145","C55","Coho","RK16","6/21/92",1.6,5.7,-26.64,0.04,9.48,0.01
"146","C56","Coho","RT03","6/23/92",2.3,6.4,-23.53,0.11,11.81,0
"147","C57","Coho","RT03","6/23/92",1.8,5.7,-23.75,0.01,12.09,0.04
"148","C58","Coho","RT03","6/23/92",4.1,7.6,-22.83,0.11,13.04,0.02
"149","C59","Coho","RT03","6/23/92",2.9,6.8,-22.4,0.02,12.72,0.06
"150","C60","Coho","RT03","6/23/92",3.2,6.7,-24.97,0.05,10.36,0.01
"151","C61","Coho","RT12","7/1/92",2,5.7,-23.89,0.02,11.17,0.18
"152","C62","Coho","RT12","7/1/92",8.6,9.1,-24.21,0.03,12.85,0.03
"153","C63","Coho","RT12","7/1/92",1.6,5.4,-24.82,0.11,10.79,0.04
"154","C64","Coho","RT12","7/1/92",4.3,7.3,-22.23,0.04,14.5,0.06
"155","C65","Coho","RT02","6/18/92",3.1,6.7,-29.41,0.01,8.95,0.11
"156","C66","Coho","RT02","6/18/92",2.6,6.3,-25.26,0.04,11.04,0.05
"157","C68","Coho","RT02","6/18/92",2.4,6.6,-25.43,0.04,10.57,0.01
"158","C69","Coho","RT02","6/18/92",2.5,6.4,-27.54,0.06,11.19,0.03
"159","C70","Coho","RT02","6/18/92",6.1,8.5,-21.33,0.11,14.34,0.09
"160","C71","Coho","RT02","6/18/92",3.9,7.4,-20.98,0.15,14.79,0.12
"161","C72","Coho","RP02","4/7/93",2.9,6.8,-22.32,0.06,13.41,0.18
"162","C73","Coho","RP02","4/7/93",2,5.9,-29.56,0.11,10.06,0.13
"163","C74","Coho","BP02","3/30/93",3.7,7.2,-25.04,0.01,10.47,0.11
"164","C75","Coho","BP02","3/30/93",1.4,5.2,-26.62,0.09,10.64,0.1
"165","C76","Coho","BP02","3/30/93",1.1,5,-24.54,0.03,10.91,0.02
"166","C77","Coho","RK14","4/4/93",17.4,11.5,-21.39,0.13,14.89,0.06
"167","C78","Coho","RK14","4/4/93",5.2,8.2,-22.86,0.01,12.97,0.09
"168","C79","Coho","RK14","4/4/93",2.2,6,-22.13,0.13,13.32,0
"169","C80","Coho","RT02R","4/20/93",2.6,6.4,-21.65,0.08,13.93,0.04
"170","C81","Coho","RT02R","4/20/93",4.8,7.8,-22.2,0.06,13.2,0.05
"171","C82","Coho","RT02R","4/20/93",2.6,6.2,-22.33,0.14,13.77,0
"172","C83","Coho","RW04","6/12/93",3,7,-23.96,0.11,9.85,0.16
"173","C84","Coho","RW04","6/12/93",2.3,6.8,-24.53,0.11,10.39,0.06
"174","C85","Coho","RW04","6/12/93",2.8,6.7,-24.08,0.08,10.59,0.15
"175","C86","Coho","RW04","6/12/93",2.1,6,-23.48,0.11,11.29,0.11
"176","C87","Coho","RW04","6/12/93",1.2,5.3,-22.65,0.01,12.01,0.09
"177","C88","Coho","RT19","6/17/93",0.2,3.4,-20.97,0.05,15.82,0.03
"178","C89","Coho","RT19","6/17/93",1.5,5.7,-22.47,0.08,14.33,0.06
"179","C90","Coho","RT19","6/17/93",3.8,7.3,-23.53,0.08,13.78,0.06
"180","C91","Coho","RK09","6/27/93",0.2,3.3,-21.97,0.01,12.78,0.07
"181","C92","Coho","RK09","6/27/93",0.7,4.5,-24.38,0.05,11.34,0.11
"182","C93","Coho","RK09","6/27/93",2.8,7,-24.82,0.01,10.72,0.13
"183","C94","Coho","RK09","6/27/93",3.8,7.3,-24.15,0.11,12.67,0.09
"184","C95","Coho","RK09","6/27/93",0.3,3.5,-20.76,0.03,14.35,0.01
"185","C96","Coho","RK09","6/27/93",4.9,8.6,-24.7,0.01,12.69,0.02
"186","C97","Coho","RK09","6/27/93",0.2,3.3,-22.55,0.01,12.82,0.01
"187","C98","Coho","RK09","6/29/93",5.3,7.9,-25.17,0.14,11.25,0.13
"188","C99","Coho","RK09","6/29/93",1,4.9,-24.16,0.06,11.27,0.09
"189","Ch01","Chum","RT02R","4/20/93",0.3,3.5,-20.01,0.07,12.65,0.11
"190","Ch02","Chum","RT02R","4/20/93",0.4,3.7,-20.74,0.06,12.49,0.02
"191","Ch03","Chum","RT02R","4/20/93",0.4,4.1,-21.22,0.03,11.61,0.09
"192","Ch04","Chum","RT02R","4/20/93",0.4,3.8,-21.74,0.03,12.34,0.08
"193","CH05","Chum","BP01R","5/15/93",0.3,3.8,-21.51,0.09,13.73,0.02
"194","CH06","Chum","BP01R","5/16/93",0.3,3.6,-20.84,0.01,13.3,0.01
"195","CH07","Chum","BP01R","5/16/93",0.2,3.6,-20.92,0.04,13.76,0.1
"196","CH08","Chum","RK11","11/4/93",0.3,3.5,-23.36,0.09,12.12,0.09
"197","CH09","Chum","BP02-R","4/19/93",0.3,3.8,-20.51,0.14,13.2,0.16
"198","CH10","Chum","BP02-R","4/19/93",0.3,4.1,-21.15,0.03,12.46,0.04
"199","D01","Dolly varden","RK17","11/9/92",11.2,9.6,-22.61,0,13.3,0.04
"200","D02","Dolly varden","RK17","11/9/92",1.2,5.2,-24.14,0.05,11.58,0.14
"201","D03","Dolly varden","RK13","11/12/92",2.9,6.6,-23.46,0.09,12.28,0.06
"202","D04","Dolly varden","RK13","11/12/92",6.4,8.1,-23.16,0.16,13.08,0.14
"203","D05","Dolly varden","RT16","11/17/92",2.2,6.2,-24.05,0,11.9,0.07
"204","D06","Dolly varden","RT16","11/17/92",1.9,6.6,-23.49,0.01,12.49,0.14
"205","D07","Dolly varden","RK17","11/11/92",1.2,4.9,-24.29,0.06,11.8,0.14
"206","D08","Dolly varden","RK06","11/9/92",18.3,11.8,-26.72,0.01,10.22,0
"207","D09","Dolly varden","RK06","11/9/92",12.3,10.2,-25.52,0.15,9.72,0.07
"208","D10","Dolly varden","BA","8/7/92",7.4,8.5,-22.95,0.06,12.7,0.1
"209","D100","Dolly varden","RK09","10/22/93",4.8,8.2,-30.05,0.04,8.82,0.13
"210","D11","Dolly varden","BA","8/7/92",4.4,7.8,-21.33,0.01,12.74,0.05
"211","D12","Dolly varden","BA","8/7/92",9.6,9.7,-23.1,0.04,12.01,0.02
"212","D13","Dolly varden","RK11","6/21/92",7,9.4,-22.43,0.06,12.44,0.12
"213","D14","Dolly varden","RK11","6/21/92",12.7,10.6,-22.23,0.01,13.3,0.07
"214","D15","Dolly varden","RK11","6/21/92",2.4,6.5,-23.78,0.02,10.08,0.01
"215","D16","Dolly varden","RK05","6/12/92",16.5,11.6,-21.72,0.16,13.78,0.09
"216","D17","Dolly varden","RK17","6/29/92",6.6,8.7,-21.74,0.09,14.28,0.13
"217","D18","Dolly varden","RK17","6/29/92",7.7,9.3,-22.26,0.03,12.92,0.1
"218","D19","Dolly varden","RK17","6/29/92",3.3,7.5,-23.78,0.1,11.07,0.13
