"","Fish.code","Species","Site","Date","Weight..g.","Fork.length..cm.","del13C","Std..error","del15N","Std..error.1"
"219","D20","Dolly varden","RK16","6/21/92",8.6,9.6,-26.53,0.08,10.4,0.06
"220","D21","Dolly varden","RK16","6/21/92",6.8,8.6,-24.06,0.05,11.16,0.05
"221","D22","Dolly varden","RK16","6/21/92",1.4,5.6,-23.47,0.03,11.54,0.06
"222","D23","Dolly varden","RK16","6/21/92",2,6.1,-27.8,0.09,9.47,0.09
"223","D24","Dolly varden","RT03","6/23/92",7.5,8.9,-23.52,0.07,11.75,0.11
"224","D25","Dolly varden","RT03","6/23/92",9.3,9.7,-22.63,0.01,12.87,0.09
"225","D26","Dolly varden","RT03","6/23/92",21,12.3,-23.89,0.08,12.13,0.05
"226","D27","Dolly varden","RT12","7/1/92",14.6,11.4,-21.31,0.05,13.99,0.13
"227","D28","Dolly varden","RT12","7/1/92",11.2,10.8,-22.52,0.12,12.87,0.01
"228","D29","Dolly varden","RT12","7/1/92",4.7,7.9,-25.13,0.08,10.13,0.17
"229","D30","Dolly varden","RT12","7/1/92",3,7,-21.77,0.18,12.78,0.11
"230","D31","Dolly varden","RT02","6/18/92",6.6,8.9,-24.52,0.11,10.4,0.1
"231","D32","Dolly varden","RP02","4/7/93",5.2,8.4,-24.29,0.13,12.82,0
"232","D33","Dolly varden","RP02","4/7/93",1.6,5.8,-23.85,0.07,11.45,0.1
"233","D34","Dolly varden","RP02","4/7/93",19.9,13.1,-23.61,0.11,12.9,0.04
"234","D35","Dolly varden","RP02","4/7/93",13.2,11.1,-23.22,0.04,12.64,0.09
"235","D36","Dolly varden","BP02","3/30/93",6.7,9.2,-25.96,0.01,9.77,0.15
"236","D37","Dolly varden","BP02","3/30/93",6.2,8.6,-27.33,0.04,9.61,0.01
"237","D38","Dolly varden","RW04","6/12/93",2.6,6.8,-25.81,0.11,9.5,0.14
"238","D39","Dolly varden","RW04","6/12/93",9.9,10.2,-22.42,0.12,12.77,0.12
"239","D40","Dolly varden","RW04","6/12/93",32.7,15.5,-21.93,0.02,12.75,0.01
"240","D41","Dolly varden","RT19","6/17/93",7.9,9.6,-22.62,0.13,14.25,0.04
"241","D42","Dolly varden","RT19","6/17/93",9.6,10.3,-22.73,0.11,14.42,0.15
"242","D43","Dolly varden","RK09","6/27/93",21.9,13.5,-20.39,0.02,12.46,0.11
"243","D44","Dolly varden","RK09","6/27/93",13.6,12,-23.97,0.04,9.31,0.04
"244","D46","Dolly varden","RK09","6/27/93",7.3,8.9,-27.23,0.07,9.72,0.09
"245","D47","Dolly varden","RK09","6/27/93",5.7,9.2,-28.34,0.16,11.21,0.18
"246","D48","Dolly varden","RK09","6/28/93",6.4,9.1,-25.2,0.03,8.54,0.06
"247","D49","Dolly varden","RK09","7/8/93",69.3,18,-19.34,0.06,12.97,0.17
"248","D50","Dolly varden","RK09","7/8/93",52.7,16.9,-18.81,0.08,13.25,0.04
"249","D51","Dolly varden","RK09","6/29/93",3.5,6.9,-25.68,0.13,10.39,0.04
"250","D52","Dolly varden","RK09","6/29/93",4.7,7.9,-31.14,0.15,9.13,0.04
"251","D53","Dolly varden","RK07","5/19/93",4.7,9.1,-26.14,0.09,9.64,0.1
"252","D54","Dolly varden","RK07","5/19/93",1.8,7.5,-22.8,0.02,13.71,0.02
"253","D55","Dolly varden","RP02","5/27/93",0.8,5.4,-26.58,0.02,11.39,0.16
"254","D56","Dolly varden","RP02","5/25/93",6.1,8.8,-24.27,0.04,10.8,0.05
"255","D57","Dolly varden","RP02","5/25/93",4.1,8.2,-21.97,0.07,13.51,0.04
"256","D58","Dolly varden","RK03","7/6/93",30.3,15.2,-18.55,0.04,12.65,0.09
"257","D59","Dolly varden","RT03","5/19/93",9.3,11.1,-25.24,0.08,12.69,0.06
"258","D60","Dolly varden","RP06BP","5/27/93",9.3,9.7,-22.67,0.17,13.56,0.03
"259","D61","Dolly varden","RP06BP","5/27/93",2.9,7.2,-25.87,0.04,10.54,0.03
"260","D62","Dolly varden","RP06BP","5/27/93",3.1,7.3,-25.33,0.04,12.01,0.05
"261","D63","Dolly varden","BP01BP","5/15/93",12.2,11.3,-26.35,0.05,10.63,0.1
"262","D64","Dolly varden","BP01BP","5/15/93",9.9,11.2,-25.96,0.01,11.52,0.16
"263","D65","Dolly varden","BP01BP","5/15/93",8,10.3,-25.64,0,10.64,0.12
"264","D66","Dolly varden","BP01BP","5/15/93",3.6,8,-26.18,0.01,9.91,0.02
"265","D67","Dolly varden","RT03","5/20/93",12.1,11.6,-28.12,0.05,11.32,0.06
"266","D68","Dolly varden","RP06BP","5/28/93",6.7,8.9,-23.18,0.03,13.18,0.13
"267","D69","Dolly varden","RT02R","5/16/93",18.9,13.8,-21.85,0.07,14.13,0.05
"268","D70","Dolly varden","RT02R","5/16/93",12.7,12.2,-23.1,0.13,12.24,0.07
"269","D71","Dolly varden","RP06BP","11/12/93",7.6,9.3,-25.16,0.04,10.87,0.11
"270","D72","Dolly varden","RP06BP","11/12/93",1,4.4,-28.02,0.03,8.52,0.05
"271","D73","Dolly varden","RP06BP","11/12/93",1.2,5.1,-26.72,0.01,9.16,0.01
"272","D74","Dolly varden","RP06BP","11/12/93",9.3,9.9,-23.62,0.06,11.81,0.04
"273","D75","Dolly varden","RP06R","11/14/93",9.3,9.5,-24.5,0.03,12.41,0.09
"274","D76","Dolly varden","RP06R","11/14/93",13,10.3,-24.45,0.02,11.31,0.02
"275","D77","Dolly varden","RK14","11/6/93",1.2,5.2,-28.84,0.05,11.26,0
"276","D79","Dolly varden","RK14","11/6/93",31.9,14.6,-22.84,0.11,13.73,0.15
"277","D80","Dolly varden","RK14","11/6/93",10.6,10,-24.97,0.09,12.1,0.11
"278","D81","Dolly varden","RK14","11/7/93",1.6,6.1,-29.35,0.03,12.17,0.04
"279","D82","Dolly varden","RT02-BP","11/7/93",12,11,-38.12,0.13,7.01,0.05
"280","D83","Dolly varden","RT02-BP","11/7/93",6.3,9,-26.51,0.06,8.6,0.05
"281","D84","Dolly varden","RP06","11/12/93",8.4,9.6,-24.49,0.12,12.33,0.01
"282","D85","Dolly varden","RP06","11/12/93",13.1,11.1,-23.65,0.1,12.14,0
"283","D86","Dolly varden","RT02-R","11/7/93",14.2,10.5,-24.55,0.11,12.85,0.04
"284","D87","Dolly varden","RT02-R","11/7/93",7.9,9.1,-27.79,0.01,9.17,0.07
"285","D88","Dolly varden","RT02-R","11/7/93",3,7.1,-25.58,0.09,8.21,0.04
"286","D89","Dolly varden","RT03","4/21/93",6.9,9.4,-23.12,0.01,13.55,0.04
"287","D90","Dolly varden","RK02","4/20/93",18.3,12.9,-21.7,0.06,14.25,0.04
"288","D91","Dolly varden","RT02","4/19/93",7.5,9.2,-25.8,0.06,10.09,0.05
"289","D92","Dolly varden","RT02","4/19/93",2.1,6.5,-27.4,0.05,8.2,0.08
"290","D93","Dolly varden","RP06","4/9/93",11.1,11.1,-23.49,0.09,12.25,0.02
"291","D94","Dolly varden","RP06","4/9/93",2.7,7.4,-24.91,0.03,7.95,0.09
"292","D95","Dolly varden","RP06","4/9/93",1.2,5.7,-24.41,0.02,11,0.01
"293","D96","Dolly varden","RK32","10/25/93",2.4,6.4,-25.33,0.03,7.09,0
"294","D97","Dolly varden","RK32","10/25/93",2.1,6,-27.92,0.01,9.49,0.09
"295","D98","Dolly varden","BP04","10/23/93",19,11.5,-27.8,0.01,12.15,0.04
"296","D99","Dolly varden","BP04","10/23/93",28.2,14.2,-22.23,0.13,14.4,0.04
"297","P01","Pink","RT02R","4/20/93",0.2,3.3,-21.83,0.06,12.9,0.13
"298","P02","Pink","RT02R","4/20/93",0.2,3.3,-22.24,0.06,12.59,0.11
"299","P03","Pink","RT02R","4/20/93",0.2,3.1,-22.21,0.03,12.49,0.07
"300","P04","Pink","RT02R","4/20/93",0.2,3.2,-20.72,0.01,12.53,0.02
"301","P05","Pink","RP02","4/8/93",0.1,3.1,-21.52,0.02,12.42,0.1
"302","P06","Pink","RT19","5/28/93",0.2,3.2,-22.3,0.01,13.84,0.11
"303","P07","Pink","RT19","5/28/93",0.1,3,-21.67,0.01,13.94,0.01
"304","P08","Pink","RP02","5/27/93",0.1,3.2,-23.23,0.03,12.03,0.04
"305","P09","Pink","RP02","5/25/93",0.1,3,-22.99,0.04,12.7,0.11
"306","P10","Pink","RP06BP","5/27/93",0.2,3.4,-22.55,0.06,12.48,0.06
"307","P11","Pink","RP06BP","5/27/93",0.2,3.3,-22.73,0,12.09,0.03
"308","P12","Pink","?","?",0.1,3.2,-23.47,0.01,13.77,0.01
"309","P13","Pink","RP06","5/29/93",0.1,3.3,-22.16,0.07,13.41,0
"310","P14","Pink","RK09","3/31/93",0.1,3.2,-22.26,0.01,13.95,0.07
"311","P15","Pink","RK09","3/31/93",0.1,3.1,-21.81,0.05,13.4,0
"312","S01","coastrange sculpin","RK17","11/10/92",15.1,9.5,-22.72,0,12.25,0.02
"313","S02","coastrange sculpin","RK06","11/9/92",0.9,4.4,-24.51,0,10.75,0.03
"314","S03","coastrange sculpin","RK04","11/1/92",17.4,10.2,-22.6,0.11,13.02,0.09
"315","S04","coastrange sculpin","RK05","14-Jun",2.4,6.4,-24.79,0.06,11.65,11.91
"316","S05","coastrange sculpin","RK05","6/12/92",9.4,9.2,-23.78,0.12,12.61,0.13
"317","S06","coastrange sculpin","RK17","6/29/92",10.4,9.2,-22.29,0.04,12.61,0.06
"318","S07","coastrange sculpin","RK16","6/21/92",8.6,9.2,-23.46,0.16,12.03,0.1
"319","S08","coastrange sculpin","RK16","6/21/92",9.6,9.4,-23.46,0.09,11.79,0.01
"320","S09","coastrange sculpin","RT03","6/23/92",9.7,9.2,-21.4,0.18,12.81,0.05
"321","S10","coastrange sculpin","RT03","6/23/92",11.8,10,-22.82,0.09,13.45,0.01
"322","S11","coastrange sculpin","RT12","7/1/92",11.1,9.4,-21.4,0.02,14.01,0.04
"323","S12","coastrange sculpin","RT12","7/1/92",3.1,6.6,-24.94,0.09,12.23,0.1
"324","S13","coastrange sculpin","RT12","7/1/92",7.5,9.1,-22.81,0.04,11.55,0.07
"325","S14","coastrange sculpin","RT02","6/18/92",5.6,8.6,-23.49,0.12,13.03,0.16
"326","S15","coastrange sculpin","RT02","6/18/92",6.8,9,-24.3,0.12,12.64,0.04
"327","S16","coastrange sculpin","RT02","6/18/92",4.7,8,-24.45,0.11,12.73,0.02
"328","S17","coastrange sculpin","RK14","4/6/93",4.4,7.3,-25.15,0.14,10.76,0.11
"329","S18","coastrange sculpin","RK14","4/6/93",10.8,9.1,-22.74,0.02,13.85,0.07
"330","S19","coastrange sculpin","RK14","4/4/93",7,8.8,-22.61,0.09,13.17,0.14
"331","S20","coastrange sculpin","RT02R","4/20/93",3.7,6.7,-24.23,0.03,12.49,0.13
"332","S21","coastrange sculpin","RW04","6/12/93",5.4,8.5,-22.79,0.13,11.11,0.11
"333","S22","coastrange sculpin","RW04","6/12/93",6.8,8.9,-23.25,0.06,10.31,0.11
"334","S23","coastrange sculpin","RW04","6/12/93",3.1,7.5,-24.45,0,9.61,0.1
"335","S24","coastrange sculpin","RW04","6/12/93",8.9,9.3,-23.55,0.06,11.99,0.09
"336","S25","coastrange sculpin","RW04","6/12/93",8.9,9.4,-23.18,0.06,11.68,0.08
"337","S26","coastrange sculpin","RT19","6/17/93",8.3,8.8,-23.29,0.13,13.6,0.12
"338","S27","coastrange sculpin","RT19","6/17/93",10.9,10.3,-22.15,0.09,13.84,0.08
"339","S28","coastrange sculpin","RK09","6/27/93",14.5,10.1,-22.75,0.01,12.45,0.13
"340","S29","coastrange sculpin","RK09","6/28/93",4.9,7.2,-25.17,0.14,10.48,0.04
"341","S30","coastrange sculpin","RK09","6/28/93",3,6.7,-27.4,0.18,11.01,0.11
"342","S31","coastrange sculpin","RT02R","5/17/93",1.6,6.3,-26.2,0.11,11.82,0.16
"343","S32","coastrange sculpin","RK07","5/21/93",4,6.9,-26.13,0.05,12.05,0.04
"344","S33","coastrange sculpin","RK07","5/21/93",9.8,9.1,-24.18,0.16,12.02,0.01
"345","S34","coastrange sculpin","RT03","5/19/93",4.7,8.4,-24,0.01,13.2,0.01
"346","S35","coastrange sculpin","RT03","5/19/93",4.8,8.6,-23.83,0.1,13.12,0.01
"347","S36","coastrange sculpin","RT02R","5/18/93",2.6,6.8,-28.34,0.02,11.85,0.09
"348","S37","coastrange sculpin","RK14","11/6/93",11.2,9.7,-22.91,0.07,13.74,0.04
"349","S38","coastrange sculpin","RK14","11/6/93",11.8,9.3,-22.51,0.04,13.15,0.06
"350","S39","coastrange sculpin","RK14","11/6/93",10.3,9.1,-22.76,0.04,12.52,0.13
"351","S40","coastrange sculpin","RP06","11/12/93",2.6,6.2,-22.97,0.08,11.94,0.13
"352","S41","coastrange sculpin","RP06","11/12/93",1.4,5.5,-26.88,0.16,9.78,0.09
"353","S42","coastrange sculpin","RP08","11/14/93",8.1,8.4,-22.62,0.01,13.01,0.1
"354","S43","coastrange sculpin","RP08","11/14/93",4.4,9.6,-23.5,0.07,12.58,0.14
"355","S44","coastrange sculpin","RP08","11/14/93",9,8.6,-23.66,0.09,12.71,0.11
"356","S45","coastrange sculpin","RT02-R","11/7/93",8.3,9,-25.76,0.01,13.26,0.06
"357","S46","coastrange sculpin","RT02-R","11/7/93",4.3,7.7,-24.83,0.1,12.61,0.16
"358","S47","coastrange sculpin","RK02","4/21/93",5.6,8.1,-25.98,0.01,8.73,0.11
"359","S48","coastrange sculpin","RT02-R","4/21/93",6.2,8.2,-23.98,0.09,13.33,0.16
"360","S49","coastrange sculpin","RT03","4/9/93",3.7,7.5,-26.1,0.13,10.74,0.15
"361","S50","coastrange sculpin","RT03","4/22/93",8.5,9.1,-22.74,0.11,13.24,0.11
"362","S52","coastrange sculpin","RT03","4/20/93",5.3,7.7,-24.75,0.07,12.99,0.09
"363","S53","coastrange sculpin","RK32","10/25/93",14.9,9.1,-23.26,0.04,13.08,0.16
"364","S54","coastrange sculpin","RK32","10/25/93",9.2,8.7,-25.82,0.01,10.31,0.02
"365","S55","coastrange sculpin","RK32","10/25/93",5.6,7.7,-27.31,0.05,10.22,0.13
"366","S56","coastrange sculpin","RK09","10/22/93",15,9.6,-23.17,0.15,13.94,0.04
"367","S57","coastrange sculpin","RK09","10/22/93",6.3,7.8,-24.75,0.09,11.67,0.07
"368","S58","coastrange sculpin","RK09","10/22/93",3.7,7.6,-25.4,0.01,9.99,0.06
"369","Sh01","Steelhead","RK14","4/4/93",12.1,10.4,-22.39,0.04,14.3,0.16
"370","SH02","Steelhead","RW04","6/12/93",11.3,10.8,-22.93,0.01,11.09,0.05
"371","SH03","Steelhead","RW04","6/12/93",9.5,10.2,-28.86,0.04,10.67,0.09
"372","SH04","Steelhead","RT19","6/17/93",2.9,7.5,-24.36,0.05,13.45,0.07
"373","SH05","Steelhead","RT19","6/17/93",2.4,6.6,-28.67,0.1,11.37,0.07
"374","SH06","Steelhead","RK09","6/27/93",17,11.8,-27.88,0.02,9.18,0.07
"375","SH07","Steelhead","RT02R","11/9/93",2,5.6,-23.04,0.15,11.93,0.11
"376","SH09","Steelhead","RK14","11/6/93",1.1,5.6,-23.71,0.04,13.31,0.12
"377","ST01","Three spine stickleback","RT02","11/18/92",0.9,4.9,-29.1,0.04,9.4,0.04
"378","ST02","Three spine stickleback","RT02","11/18/92",1.5,5.8,-29.63,0.04,9.47,0.01
"379","ST03","Three spine stickleback","RT02","11/18/92",0.8,4.5,-29.06,0.13,9.52,0.08
"380","ST04","Three spine stickleback","RK04","11/2/92",2.7,6.3,-29.99,0.12,10.26,0.11
"381","ST05","Three spine stickleback","RT12","7/1/92",2.2,6.2,-27.49,0.03,11.6,0.09
"382","ST06","Three spine stickleback","RT02","6/18/92",1.7,5.6,-29.37,0.06,10.1,0.01
"383","ST07","Three spine stickleback","RT02","6/18/92",1.2,5.6,-27.83,0.04,11.12,0.03
"384","ST08","Three spine stickleback","RT02","6/18/92",1.4,6.2,-30.3,0.04,9.55,0.05
"385","ST09","Three spine stickleback","RT02","6/18/92",1.2,5.5,-29.13,0.02,9.55,0.09
"386","ST10","Three spine stickleback","RT02","6/18/92",1.5,6,-30.87,0.01,9.72,0.08
"387","ST11","Three spine stickleback","RT02","6/18/92",1,5.1,-32.37,0.07,8.04,0.13
"388","ST12","Three spine stickleback","RT02","6/18/92",1.6,6.1,-28.76,0.07,8.64,0.1
"389","ST13","Three spine stickleback","RT02","6/18/92",0.9,4.8,-28.34,0.01,10.44,0.16
"390","ST14","Three spine stickleback","BP02","3/30/93",1.2,5.5,-27.15,0.06,9.79,0.13
"391","ST15","Three spine stickleback","BP02","3/30/93",1.4,5.4,-28.55,0.06,10.59,0.04
"392","ST16","Three spine stickleback","BP01BP","5/15/93",1,5.5,-26.9,0.02,10.23,0.16
"393","ST17","Three spine stickleback","BP01BP","5/15/93",1.1,5,-27.67,0.04,10.73,0.04
"394","ST18","Three spine stickleback","RT03","5/21/93",1,5.1,-29.61,0.02,10.74,0.01
"395","ST19","Three spine stickleback","RT02BP","5/18/93",1.2,5.1,-30.03,0.03,9.53,0.01
"396","ST20","Three spine stickleback","RT02BP","5/18/93",2.4,6.2,-29.18,0.01,8.95,0.1
"397","ST21","Three spine stickleback","RT02R","5/16/93",2.3,6.6,-29.84,0.04,10.58,0.12
"398","ST22","Three spine stickleback","RT02R","5/16/93",1.5,5.6,-25.43,0.05,11.72,0.04
"399","ST23","Three spine stickleback","RT02-BP","11/7/93",1,4.8,-29.5,0.05,10.21,0.06
"400","ST24","Three spine stickleback","RT02-BP","11/7/93",1.9,4.8,-29.74,0.13,9.88,0.09
"401","ST25","Three spine stickleback","RT02","4/5/93",0.7,4.9,-31.22,0.17,7.96,0.01
"402","ST26","Three spine stickleback","RT02-BP","4/20/93",0.5,3.9,-31.78,0.13,9.77,0.16
"403","ST28","Three spine stickleback","RT02","4/19/93",1.4,5.4,-29.06,0.04,9.2,0.1
"404","ST29","Three spine stickleback","RT02","4/19/93",1,5.1,-31.87,0.08,9.33,0.01
"405","ST30","Three spine stickleback","BP02-R","4/19/93",0.3,3.2,-27.43,0.01,12.73,0.06
"406","ST31","Three spine stickleback","BP04","10/23/93",1.4,5.4,-28.56,0.06,8.93,0.16
"407","ST32","Three spine stickleback","BP04","10/23/93",0.8,4.4,-31.44,0.12,9.49,0.05
"408","ST33","Three spine stickleback","RK09","10/22/93",0.9,4.6,-25.76,0.04,13.98,0.02
"409","ST34","Three spine stickleback","RK09","10/25/93",1.8,5.4,-28.93,0.04,12.14,0.05
