Lizard.ID.,Ctmax
8_o,40.54
9_o,42.68
10_o,40.5
11_o,43.72
12_o,42.73
13_o,42.28
21_o,43.96
22_o,43.5
23_o,42.95
24_o,40.98
32_o,43.57
33_o,44.49
34_o,41.86
35_o,43.13
36_o,43.06
44_o,41.53
45_o,40.86
46_o,41.19
47_o,42.12
48_o,43.89
49_o,43.29
58_o,42.86
65_o,43.73
66_o,43.34
67_o,41.99
70_o,42.06
2_g,42.87
3_g,40.57
4_g,43.64
5_g,42.68
6_g,39.64
7_g,42.45
56_g,44.55
59_g,43.9
60_g,40.75
61_g,42.92
82_g,42.17
83_g,41.12
84_g,43.15
85_g,42.97
86_g,42.34
94_g,39.82
95_g,42.31
96_g,40.54
97_g,41.78
98_g,43.13
99_g,42.37
32_g,43.93
33_g,42.24
34_g,42.8
35_g,43.37
36_g,43.92
37_g,37.13
38_g,40.03
39_g,44.56
40_g,41.32
41_g,43.72
42_g,43
43_g,35.93
44_g,42.89
45_g,45.8
46_g,44.29
47_g,43.07
48_g,43.39
49_g,42.12
50_g,44.53
51_g,44.35
52_g,42.93
53_g,42.71
54_g,43.98
55_g,42.71
57_g,40.3
58_g,41.9
62_g,40.2
63_g,42.15
64_g,43.27
65_g,43.86
66_g,41.27
67_g,43.56
68_g,43.76
69_g,44.41
70_g,44.45
71_g,43.95
72_g,44.8
73_g,43.81
120_o,42.18
133_o,41.32
181_o,44.32
229_o,43.81
230_o,41.92
231_o,44.93
232_o,42.63
233_o,42.17
234_o,38.05
236_o,42.17
237_o,35.76
238_o,40.27
240_o,41.53
241_o,39.31
242_o,40.4
243_o,42.98
251_o,41.15
253_o,39.57
255_o,40.04
265_o,43.43
735_o,43.04
209_o,43.86
208_o,39.08
207_o,39.19
206_o,43.53
190_o,36.8
189_o,40.48
188_o,40.59
187_o,37.06
180_o,41.84
179_o,43.35
178_o,41.81
177_o,40.33
176_o,38.33
150_o,39.19
149_o,42.88
148_o,42.67
147_o,43.06
146_o,41.07
140_o,42.99
139_o,40.03
138_o,40.46
137_o,39.43
136_o,44.01
130_o,43.91
129_o,39.18
128_o,41.28
127_o,42.17
126_o,43.24
346_o,42.95
347_o,38.91
348_o,44.1
349_o,39.11
350_o,41.86
352_o,42.19
353_o,42.1
354_o,41.68
381_o,41.05
426_o,40.15
427_o,45.63
428_o,43.98
429_o,44.15
430_o,42.82
431_o,34.27
432_o,42.43
435_o,40.89
2_j,38.01
12_j,42.08
25_j,37.93
45_j,37.32
46_j,37.37
47_j,30.82
48_j,37.52
50_j,33.23
53_j,37.24
61_j,33
62_j,30.32
63_j,32.81
64_j,38.73
65_j,32.71
66_j,29.34
68_j,37.01
69_j,32.76
70_j,34.18
71_j,34.44
72_j,37.73
73_j,36.17
78_j,28.78
79_j,33.58
80_j,33.59
91_j,40.24
4_v,38.9
7_v,41.74
9_v,40
27_v,37.68
36_v,39.2
94_v,37.77